,Dizi Linki,Dizi Adı,Tür,Uyarlama,Senarist,Yönetmen,Başrol,Besteci,Sezon sayısı,Bölüm sayısı,Yapımcı,Mekân,Görüntü yönetmeni,Gösterim süresi,Yapım şirketi,Kanal,Platform,Ses formatı,Yayın tarihi,Tarih,Youtube,Facebook,Twitter,Instagram,Durumu
0,https://tr.wikipedia.org//wiki/Kaynanalar,Kaynanalar,Komedi,Uyarlama Değil,?,"Tekin Akmansoy,Arzu Akmansoy","Tekin Akmansoy,Leman Çıdamlı,Defne Yalnız,Sevda Aydan,Ege Aydan,Münir Caner,Sermin Hürmeriç,Sezai Aydın",?,14.0,314,?,İstanbul,?,58.0,?,"TRT 1,Kanal D",?,?,19 Mayıs 1974 - 24 Ocak 2005,1974.0,0,0,0,0,Sona erdi
1,"https://tr.wikipedia.org//wiki/A%C5%9Fk-%C4%B1_Memnu_(dizi,_1975)",Aşk-ı Memnu,"Aile,Dram",Uyarlama Değil,Halit Refiğ,Halit Refiğ,"Suna Keskin,Müjde Ar,Şükran Güngör,Neriman Köksal,Itır Esen",?,1.0,6,?,İstanbul,?,58.0,?,TRT 1,?,?,19 Nisan 1975 - 24 Mayıs 1975,1975.0,0,0,0,0,Sona erdi
2,?,Kartallar Yüksek Uçar,Polisiye,Uyarlama Değil,Atilla İlhan,Hüseyin Karakaş,"Selda Alkor,Hüseyin Peyda,Serap Aksoy,Necmettin Çobanoğlu,Can Gürzap",?,1.0,3,?,İstanbul,?,58.0,?,Diğer,?,?,26 Kasım 1983,1983.0,0,0,0,0,Yayından kaldırıldı
3,https://tr.wikipedia.org//wiki/%C3%9C%C3%A7_%C4%B0stanbul_(dizi),Üç İstanbul,Dram,Uyarlama Değil,Bülent Oran,Feyzi Tuna,"Ayda Aksel,Gülsen Tuncer,Celile Toyon,Burçin Oraloğlu,Nilgün Akçaoğlu",Timur Selçuk,1.0,?,Oskay Alptürk,İstanbul,Muzaffer Turan,58.0,Ercan Film,TRT 1,?,?,1983,1983.0,0,0,0,0,Sona erdi
4,"https://tr.wikipedia.org//wiki/K%C3%BC%C3%A7%C3%BCk_A%C4%9Fa_(dizi,_1984)",Küçük Ağa,"Dram,Aksiyon,Tarihî",Uyarlama Değil,Tarık Buğra,Yücel Çakmaklı,"Çetin Tekindor,Aydan Şener,Erol Taş,Fikret Hakan",?,1.0,8,İlksen Bektaş,İstanbul,Sineray,58.0,TRT,TRT 1,?,?,"25 Mart 1984,(,1984-03-25,),[1],-,13 Mayıs 1984,(,1984-05-13,),[2]",1984.0,0,0,0,0,Sona erdi
5,https://tr.wikipedia.org//wiki/Ac%C4%B1mak_(dizi),Acımak,Dram,Uyarlama Değil,Orhan Aksoy,Orhan Aksoy,"Ayşegül Aldinç,Ediz Hun,Berhan Şimşek,Nazan Ayas,Oktar Durukan,Hulusi Kentmen,Muhip Arcıman",?,1.0,7,Hilmi Akyalçın,İstanbul,?,215.0,TRT,TRT 1,?,?,"22 Aralık 1985,(,1985-12-22,),[1],-,2 Şubat 1986,(,1986-02-02,),[2]",1985.0,0,0,0,0,Sona erdi
6,https://tr.wikipedia.org//wiki/Kuruntu_Ailesi,Kuruntu Ailesi,Komedi,Uyarlama Değil,"Atay Sözer,Fazıl Hayati Çorbacıoğlu,Nedim Doğan,Zihni Küçümen",Uğur Erkır,"Gazanfer Özcan,Gönül Ülkü,Doğu Erkan,Gazanfer Ündüz,Fulya Özcan,Zihni Göktay,Can Kolukısa",?,5.0,121,Uğur Erkır,İstanbul,?,215.0,TRT,TRT 1,?,?,10 Ekim 1985 - 29 Aralık 1990,1985.0,0,0,0,0,Sona erdi
7,"https://tr.wikipedia.org//wiki/Bug%C3%BCn%C3%BCn_Sarayl%C4%B1s%C4%B1_(dizi,_1985)",Bugünün Saraylısı,"Dram,Tarihî",Uyarlama Değil,"Altuğ Savaşal,Gürsen Topses,Ziya Öztan",Ziya Öztan,"Sema Yunak,Ahmet Mekin,Yaman Okay,Ahmet Sezerel,Gülsen Tuncer,Fatoş Sezer",?,1.0,4,Sacit Doğruyol,İstanbul,?,215.0,?,TRT 1,?,?,"6 Ekim 1985,(,1985-10-06,),[1],-,27 Ekim 1985,(,1985-10-27,),[2]",1985.0,0,0,0,0,Sona erdi
8,https://tr.wikipedia.org//wiki/Dokuzuncu_Hariciye_Ko%C4%9Fu%C5%9Fu_(dizi),Dokuzuncu Hariciye Koğuşu,"Dram,Tarihî",Uyarlama Değil,"Mehmet Taşdiken,Salih Diriklik,Tufan Güner",Salih Diriklik,"Oğuz Tunç,Nergis Kumbasar,Muhterem Nur,Neriman Köksal,Agah Hün,Yusuf Sezgin,Salih Kırmızı",?,1.0,4,Vehbi Okur,İstanbul,?,215.0,TRT,TRT 1,?,Stereo,"9 Şubat 1986,(,1986-02-09,),[1],-,2 Mart 1986,(,1986-03-02,),[2]",1986.0,0,0,0,0,Sona erdi
9,"https://tr.wikipedia.org//wiki/%C3%87al%C4%B1ku%C5%9Fu_(dizi,_1986)",Çalıkuşu,Dram,Çalıkuşu,Osman F. Seden,Osman F. Seden,"Aydan Şener,Kenan Kalav,Sadri Alışık,Mine Çayıroğlu,Eşref Kolçak,Hayati Hamzaoğlu,Kaya Akarsu,Tomris Oğuzalp,Savaş Başar,Seray Gözler,Tilbe Saran,Cengiz Sezici,Sümer Tilmaç,Yalçın Avşar,Ali Şen,Mübeccel Vardar",Esin Engin,1.0,7,"TRT,adına,Osman F. Seden","İstanbul,Bolu,İzmir,Bursa",?,45.0,?,TRT 1,?,?,20 Nisan 1986 - 1 Haziran 1986,1986.0,0,0,0,0,Sona erdi
10,https://tr.wikipedia.org//wiki/Mardin-M%C3%BCnih_Hatt%C4%B1,Mardin Münih Hattı,"Dram,Aksiyon",Uyarlama Değil,Ünal Küpeli,Ünal Küpeli,"Tanju Gürsu,Nadja Smolik,Zeynel Karaca,Paul Glawion,Rebecca Winter,Mehmet Erikçi,Nadya Smolik",?,1.0,6,Okan Uysaler,İstanbul,?,45.0,TRT,TRT 1,?,?,1986,1986.0,0,0,0,0,Sona erdi
11,https://tr.wikipedia.org//wiki/Perihan_Abla,Perihan Abla,"Komedi,Dram",Uyarlama Değil,"Kandemir Konduk,Fatih Yıldız",Yalçın Yelence,"Perran Kutman,Şevket Altuğ,Tuluğ Çizgen,Ercan Yazgan,Cihat Tamer",?,2.0,74,"Umur Bugay,Güner Namlı",İstanbul,?,45.0,İstanbul TV,TRT 2,?,?,8 Ekim 1986 - 3 Temmuz 1988,1986.0,0,0,0,0,Sona erdi
