,Yer,Enlem,Boylam
0,İstanbul,41.0766019,29.052495
1,İzmir,38.4237433,27.1428019
2,İzmit,40.7718611,29.9498078
3,Kocaeli,40.7653892,29.9407361
4,Türkiye,38.9597594,34.9249653
5,Eskişehir,39.6821156,31.0723476
6,Ankara,39.9207759,32.8540497
7,Antalya,36.8864752,30.7029585
8,Bursa,40.182737,29.0675481
9,Artvin,41.160506,41.8398627
10,Ildır,38.3836009,26.476831
11,Karadağ,40.61502,43.1195478
12,Edirne,41.6763707,26.5566834
13,Adana,37.1438001,35.4984094
14,Şile,-31.7613365,-71.3187697
15,Kaynarca,41.655575400000004,27.459972532731456
16,Sakarya,40.7731834,30.481606
17,Selimiye,40.676125,35.460869
18,Marmaris,36.8522547,28.2742661
19,Muğla,37.1642053,28.2624288
20,Kapadokya,38.646806,34.8491554
21,Nevşehir,38.7235072,34.7194168
22,Tarsus,36.9164834,34.895149
23,Datça,36.7263403,27.6873855
24,Kırklareli,41.7078046,27.6051334
25,Bodrum,37.0343987,27.430651
26,Ordu,40.8292569,37.4082764
27,Rize,41.0248249,40.5199142
28,Birgi,38.2545939,28.0654483
29,Ödemiş,38.227747,27.9687635
30,Edremit,39.597846,27.0181836
31,Balıkesir,39.5400798,28.0228793
32,Üsküp,41.752517,27.412042744730847
33,Kuzey Makedonya,41.6171214,21.7168387
34,Semerkant,39.6550017,66.9756954
35,İtalya,42.6384261,12.674297
36,Isparta,37.9465412,30.9602093
37,Van,38.3249599,43.6589825
38,Pera Palas,50.104968,8.7582453
39,Miami,25.7741728,-80.19362
40,Arnavutluk,41.000028,19.9999619
41,Gaziantep,37.0628317,37.3792617
42,Berlin,52.5170365,13.3888599
43,Ayvalık,39.3181095,26.6916837
44,Foça,43.5058554,18.774393
46,Kıbrıs,34.9823018,33.1451285
47,Beykoz,41.1343001,29.0920378
48,Amasya,40.6569451,35.7727169
49,Antakya,36.2036546,36.1637648
50,Hatay,36.2025623,36.1603626
51,Zonguldak,41.250324,31.8389738
52,Urla,38.3228184,26.7672998
53,Kireçburnu,41.1459737,29.0465248
54,Sarıyer,41.1685803,29.0572623
55,Yozgat,39.8221974,34.8080972
56,Niğde,38.0664691,34.7051438
57,Konya,38.0211951,32.5224943
58,Erzincan,39.6073429,39.2013209
59,Doha,25.2856329,51.5264162
60,Tokat,40.38658275,36.656546010111526
61,Kars,40.4558435,42.9979531
62,Göcek,36.7537141,28.9422879
63,Sivrihisar,39.4510335,31.5367967
64,Ürgüp,38.5928119,34.95945521013293
65,Tekirdağ,40.9913019,27.3676293
66,Mersin,36.7978381,34.6298391
67,Akbaba,41.1504431,29.1154018
68,Pendik,40.8768715,29.2349672
69,Göbeklitepe,37.2233511,38.9206472
70,Nemrut Dağı,37.980319699999995,38.740935809229455
71,Mardin,37.3611355,40.8959403
72,Bolu,40.6212099,31.6460259
73,Bakırköy,40.9782585,28.8744461
74,BKM,35.320288,-99.551159
75,Köyceğiz,40.6236468,35.5027381
77,Okan Üniversitesi Hastanesi,40.8489882,29.301882491955727
78,Elmalı,36.7383786,29.9183623
79,Zeytinburnu,40.9898653,28.9037467
80,Üsküdar,41.0265498,29.0151321
81,Diyarbakır,37.9162222,40.2363542
83,Trabzon,41.0054605,39.7301463
84,Gölyazı,38.5846514,43.4634991
85,Nilüfer,40.2129489,28.9627863
86,Yunanistan,38.9953683,21.9877132
87,Paris,48.8588897,2.3200410217200766
88,Hollanda,52.2434979,5.6343227
89,Amsterdam,52.3730796,4.8924534
90,Bigadiç,39.44827305,28.229616061147382
91,Yeşilyurt,35.1531147,32.8844033
92,İstanbul - Beykoz,41.1176978,29.098210947911433
93,İstanbul - Üsküdar,41.0265498,29.0151321
94,İstanbul - Fatih,41.006381,28.9758715
95,İstanbul - Sarıyer,41.1685803,29.0572623
96,İstanbul - Beyoğlu,41.0284233,28.9736808
97,İstanbul - Sarıyer - Reşitpaşa Mahallesi,41.1068809,29.0411147
98,İstanbul - Sarıyer - Emirgan Mahallesi,41.103131,29.0536894
99,İstanbul - Üsküdar - Selimiye Mahallesi,41.0058418,29.0177481
100,İzmir - Karşıyaka,38.503445150000005,27.113455434284667
101,İzmir - Urla,38.3228184,26.7672998
102,İstanbul - Kadıköy,40.990992,29.0254305
103,İstanbul - Şişli,41.0637891,28.9831642
104,İstanbul - Beykoz - Mahmut Şevket Paşa Köyü,41.153394399999996,29.187791195182314
106,İstanbul - Kadıköy - Yeldeğirmeni Mahallesi,40.9970269,29.0265413
107,Kütahya,39.2522508,29.4937732
108,Karabük,41.1110349,32.6193901
109,Darıca,40.7574799,29.3840563
110,Bayırköy,38.247627,38.98111
111,İstanbul - Beykoz - Kavacık Mahallesi,41.0930051,29.0861909
