,Yıl,Dizi,Kanal,Yapımcı
0,1992,Yıldızlar Gece Büyür,TRT 1,Altuğ Savaşal
1,1992,Olacak O Kadar,?,Levent Kırca
2,1992,Bizimkiler,?,Umur Bugay
3,1993,Bizimkiler,TRT 1,Umur Bugay
4,1993,Olacak O Kadar,?,Levent Kırca
5,1993,Mahallenin Muhtarları,?,Hüseyin Apaydın
6,1994,Hastane,?,Zeki Alasya
7,1994,Olacak O Kadar,?,Levent Kırca
8,1994,Bizimkiler,TRT 1,Umur Bugay
9,1995,İnce İnce Yasemince,?,İlyas İlbey
10,1995,Süper Baba,atv,Şevket Altuğ
11,1996,Olacak O Kadar,?,Levent Kırca
12,1996,Çılgın Bediş,Kanal D,Ayhan Aybek
13,1997,Olacak O Kadar,?,Levent Kırca
14,1997,Kara Melek,Star TV,Ertuğrul Karslıoğlu
15,1998,Baba Evi,atv,İrfan Tözüm
16,1998,Olacak O Kadar,?,Levent Kırca
17,1999,Yılan Hikâyesi,Kanal D,Osman Yağmurdereli
18,1999,Olacak O Kadar,?,Levent Kırca
19,2000,Yılan Hikâyesi,Kanal D,Osman Yağmurdereli
20,2000,Olacak O Kadar,?,Levent Kırca
21,2001,Aşkım Aşkım,Kanal D,Osman Yağmurdereli
22,2001,Olacak O Kadar,?,Levent Kırca
23,2002,Asmalı Konak,atv,Abdullah Oğuz
24,2002,Beyaz Show,?,Beyaz
25,2004,Beyaz Show,?,Beyaz
26,2004,Kınalı Kar,Kanal D,Osman Yağmurdereli
27,2005,Avrupa Yakası,?,Sinan Çetin
28,2005,Yabancı Damat,Kanal D,Türker İnanoğlu
29,2006,Hırsız Polis,Kanal D,Erol Avcı
30,2006,Avrupa Yakası,?,Sinan Çetin
31,2007,Avrupa Yakası,?,Sinan Çetin
32,2007,Binbir Gece,Kanal D,Erol Avcı
33,2008,Komedi Dükkanı,?,"Sinan Çetin, Fırat Parlak"
34,2008,Yaprak Dökümü,Kanal D,Kerem Çatay
35,2009,Aşk-ı Memnu,Kanal D,Kerem Çatay
36,2009,Çok Güzel Hareketler Bunlar,?,Necati Akpınar
37,2010,Ezel,atv,Kerem Çatay
38,2010,Geniş Aile,?,"Ahmet Kayumtu, Lale Eren"
39,2011,Yahşi Cazibe,?,Gani Müjde
40,2011,Öyle Bir Geçer Zaman ki,Kanal D,Cengiz Deveci
41,2012,Yalan Dünya,?,Ayşe E. Durmaz
42,2012,Muhteşem Yüzyıl,Star TV,Timur Savcı
43,2013,İşler Güçler,?,Hayri Aslan
44,2013,Karadayı,atv,Kerem Çatay
45,2014,Arkadaşım Hoşgeldin,?,Necati Akpınar
46,2014,Küçük Ağa,Kanal D,Türker İnanoğlu
47,2015,Güldür Güldür,?,Necati Akpınar
48,2015,Güneşin Kızları,Kanal D,"İsmail Gündoğdu, İnci Kırhan Gündoğdu"
49,2016,"Diriliş ""Ertuğrul""",TRT 1,Mehmet Bozdağ
50,2016,Kiralık Aşk,?,"Müge Turalı Pak, Melda Perahya Yalçın, Mehmetcan Yüksel"
51,2017,Vatanım Sensin,Kanal D,Onur Güvenatam
52,2017,Güldür Güldür,?,Necati Akpınar
53,2018,Çukur,Show TV,"Kerem Çatay, Pelin Diştaş Yaşaroğlu"
54,2018,Çocuklar Duymasın,?,Birol Güven
55,2018,Erkenci Kuş,?,Faruk Turgut
56,2019,Çok Güzel Hareketler 2,?,Necati Akpınar
57,2019,Mucize Doktor,FOX TV,Asena Bülbüloğlu
58,2019,Afili Aşk,?,Fatih Enes Ömeroğlu
59,2021,Sen Çal Kapımı,?,Asena Bülbüloğlu
60,2021,Camdaki Kız,Kanal D,Onur Güvenatam
61,2021,Çok Güzel Hareketler 2,?,Necati Akpınar
62,2022,Gibi,?,"Feyyaz Yiğit, Barış Ayaztaş"
63,2022,Aşk Mantık İntikam,?,Yağmur Ünal
64,2022,Yargı,Kanal D,Kerem Çatay
65,2023,Yalı Çapkını,Star TV,Onur Güvenatam
66,2023,Ya Çok Seversen,?,Kerem Çatay
67,2023,Güldür Güldür Show,?,Necati Akpınar
