,Yıl,Yönetmen,Yapım
0,1999,Osman Sınav,Deli Yürek
1,2000,Nihat Durak,Yılan Hikayesi
2,2001,Osman Sınav,Deli Yürek
3,2012,Çağatay Tosun,Suskunlar
4,2013,Uluç Bayraktar ve Cem Karcı,Karadayı
5,2014,Altan Dönmez,Güneşi Beklerken
6,2015,Ali Bilgin,Medcezir
7,2016,Çağrı Vila Lostuvalı,Poyraz Karayel
8,2017,Yağız Alp Akaydın,Söz
9,2018,"Osman Sınav, Emre Kabakuşak ve Yusuf Ömer Sınav",Sen Anlat Karadeniz
10,2019,Yusuf Pirhasan,Mucize Doktor
11,2021,Çağrı Vila Lostuvalı ve Çiğdem Bozali,Masumlar Apartmanı
12,2022,Ali Bilgin,Yargı
13,2023,Ketche,Kızılcık Şerbeti
