,Oyuncu Linki,Oyuncu Adı,Cinsiyet
0,https://tr.wikipedia.org//wiki/A%C3%A7elya_Akkoyun,Açelya Akkoyun,Kadın
1,https://tr.wikipedia.org//wiki/A%C3%A7elya_Devrim_Y%C4%B1lhan,Açelya Devrim Yılhan,Kadın
2,https://tr.wikipedia.org//wiki/A%C3%A7elya_Elmas,Açelya Elmas,Kadın
3,https://tr.wikipedia.org//wiki/A%C3%A7elya_%C3%96zcan,Açelya Özcan,Kadın
4,https://tr.wikipedia.org//wiki/A%C3%A7elya_Topalo%C4%9Flu,Açelya Topaloğlu,Kadın
5,https://tr.wikipedia.org//wiki/Afra_Sara%C3%A7o%C4%9Flu,Afra Saraçoğlu,Kadın
6,https://tr.wikipedia.org//wiki/Ahsen_Ero%C4%9Flu,Ahsen Eroğlu,Kadın
7,https://tr.wikipedia.org//wiki/Ahu_Sungur,Ahu Sungur,Kadın
8,https://tr.wikipedia.org//wiki/Ahu_T%C3%BCrkpen%C3%A7e,Ahu Türkpençe,Kadın
9,https://tr.wikipedia.org//wiki/Ahu_Ya%C4%9Ftu,Ahu Yağtu,Kadın
10,https://tr.wikipedia.org//wiki/Merih_Akal%C4%B1n,Merih Akalın,Kadın
11,https://tr.wikipedia.org//wiki/Akasya_As%C4%B1lt%C3%BCrkmen,Akasya Asıltürkmen,Kadın
12,https://tr.wikipedia.org//wiki/Demet_Akba%C4%9F,Demet Akbağ,Kadın
13,https://tr.wikipedia.org//wiki/Sezin_Akba%C5%9Fo%C4%9Fullar%C4%B1,Sezin Akbaşoğulları,Kadın
14,https://tr.wikipedia.org//wiki/Sevil_Ak%C4%B1_Saner,Sevil Akı Saner,Kadın
15,https://tr.wikipedia.org//wiki/Filiz_Ak%C4%B1n,Filiz Akın,Kadın
16,https://tr.wikipedia.org//wiki/Zeynep_Aksu,Zeynep Aksu,Kadın
17,https://tr.wikipedia.org//wiki/Sevda_Aktolga,Sevda Aktolga,Kadın
18,https://tr.wikipedia.org//wiki/Derya_Alabora,Derya Alabora,Kadın
19,https://tr.wikipedia.org//wiki/Alara_Turan,Alara Turan,Kadın
20,https://tr.wikipedia.org//wiki/Alev_G%C3%BCrzap,Alev Gürzap,Kadın
21,https://tr.wikipedia.org//wiki/Alev_Oralo%C4%9Flu,Alev Oraloğlu,Kadın
22,https://tr.wikipedia.org//wiki/Alev_Sururi,Alev Sururi,Kadın
23,https://tr.wikipedia.org//wiki/Aleyna_Solaker,Aleyna Solaker,Kadın
24,https://tr.wikipedia.org//wiki/Aleyna_%C5%9Eirin,Aleyna Şirin,Kadın
25,https://tr.wikipedia.org//wiki/Ayla_Algan,Ayla Algan,Kadın
26,https://tr.wikipedia.org//wiki/Alg%C4%B1_Eke,Algı Eke,Kadın
27,https://tr.wikipedia.org//wiki/Alina_Boz,Alina Boz,Kadın
28,https://tr.wikipedia.org//wiki/Aliye_Uzunata%C4%9Fan,Aliye Uzunatağan,Kadın
29,https://tr.wikipedia.org//wiki/Yasemin_Allen,Yasemin Allen,Kadın
30,https://tr.wikipedia.org//wiki/Almeda_Abazi,Almeda Abazi,Kadın
31,https://tr.wikipedia.org//wiki/Almila_Ba%C4%9Fr%C4%B1a%C3%A7%C4%B1k,Almila Bağrıaçık,Kadın
32,https://tr.wikipedia.org//wiki/Almila_Uluer,Almila Uluer,Kadın
33,https://tr.wikipedia.org//wiki/Altan_Kar%C4%B1nda%C5%9F,Altan Karındaş,Kadın
34,https://tr.wikipedia.org//wiki/Mehtap_An%C4%B1l,Mehtap Anıl,Kadın
35,https://tr.wikipedia.org//wiki/Ani_%C4%B0pekkaya,Ani İpekkaya,Kadın
36,https://tr.wikipedia.org//wiki/Anta_Toros,Anta Toros,Kadın
37,https://tr.wikipedia.org//wiki/Meri%C3%A7_Aral,Meriç Aral,Kadın
38,https://tr.wikipedia.org//wiki/Melda_Arat,Melda Arat,Kadın
39,https://tr.wikipedia.org//wiki/Tuna_Arman,Tuna Arman,Kadın
40,https://tr.wikipedia.org//wiki/Arsen_G%C3%BCrzap,Arsen Gürzap,Kadın
41,https://tr.wikipedia.org//wiki/Arzu_Balkan,Arzu Balkan,Kadın
42,https://tr.wikipedia.org//wiki/Arzu_Gamze_K%C4%B1l%C4%B1n%C3%A7,Arzu Gamze Kılınç,Kadın
43,https://tr.wikipedia.org//wiki/Arzu_O%C5%9F,Arzu Oş,Kadın
44,https://tr.wikipedia.org//wiki/Arzu_Yanarda%C4%9F,Arzu Yanardağ,Kadın
45,https://tr.wikipedia.org//wiki/Arzum_Onan,Arzum Onan,Kadın
46,https://tr.wikipedia.org//wiki/Asena_Tu%C4%9Fal,Asena Tuğal,Kadın
47,https://tr.wikipedia.org//wiki/Asiye_Din%C3%A7soy,Asiye Dinçsoy,Kadın
48,https://tr.wikipedia.org//wiki/Asl%C4%B1_Altaylar,Aslı Altaylar,Kadın
49,https://tr.wikipedia.org//wiki/Asl%C4%B1_Bekiro%C4%9Flu,Aslı Bekiroğlu,Kadın
50,https://tr.wikipedia.org//wiki/Asl%C4%B1_Enver,Aslı Enver,Kadın
51,https://tr.wikipedia.org//wiki/Asl%C4%B1_%C4%B0%C3%A7%C3%B6z%C3%BC,Aslı İçözü,Kadın
52,https://tr.wikipedia.org//wiki/Asl%C4%B1_%C4%B0nand%C4%B1k,Aslı İnandık,Kadın
53,https://tr.wikipedia.org//wiki/Asl%C4%B1_Oma%C4%9F,Aslı Omağ,Kadın
54,https://tr.wikipedia.org//wiki/Asl%C4%B1_Orcan,Aslı Orcan,Kadın
55,https://tr.wikipedia.org//wiki/Asl%C4%B1_%C3%96ng%C3%B6ren,Aslı Öngören,Kadın
56,https://tr.wikipedia.org//wiki/Asl%C4%B1_%C3%96yken_Taylan,Aslı Öyken Taylan,Kadın
57,https://tr.wikipedia.org//wiki/Asl%C4%B1_Sevimli,Aslı Sevimli,Kadın
58,https://tr.wikipedia.org//wiki/Asl%C4%B1_Tando%C4%9Fan,Aslı Tandoğan,Kadın
59,https://tr.wikipedia.org//wiki/Asl%C4%B1_Y%C4%B1lmaz,Aslı Yılmaz,Kadın
60,https://tr.wikipedia.org//wiki/Asl%C4%B1han_G%C3%BCrb%C3%BCz,Aslıhan Gürbüz,Kadın
61,https://tr.wikipedia.org//wiki/Asl%C4%B1han_Kandemir,Aslıhan Kandemir,Kadın
62,https://tr.wikipedia.org//wiki/Asl%C4%B1han_Malbora,Aslıhan Malbora,Kadın
63,https://tr.wikipedia.org//wiki/Asu_Maralman,Asu Maralman,Kadın
64,https://tr.wikipedia.org//wiki/Asude_Kalebek,Asude Kalebek,Kadın
65,https://tr.wikipedia.org//wiki/Asuman_Dabak,Asuman Dabak,Kadın
66,https://tr.wikipedia.org//wiki/Asuman_Krause,Asuman Krause,Kadın
67,https://tr.wikipedia.org//wiki/A%C5%9Fk%C4%B1n_Nur_Yengi,Aşkın Nur Yengi,Kadın
68,https://tr.wikipedia.org//wiki/Bala_Atabek,Bala Atabek,Kadın
69,https://tr.wikipedia.org//wiki/Vildan_Atasever,Vildan Atasever,Kadın
70,https://tr.wikipedia.org//wiki/Irmak_Atuk,Irmak Atuk,Kadın
71,https://tr.wikipedia.org//wiki/H%C3%BClya_Av%C5%9Far,Hülya Avşar,Kadın
72,https://tr.wikipedia.org//wiki/Ayb%C3%BCke_Pusat,Aybüke Pusat,Kadın
73,https://tr.wikipedia.org//wiki/Ay%C3%A7a_Ay%C5%9Fin_Turan,Ayça Ayşin Turan,Kadın
74,https://tr.wikipedia.org//wiki/Ay%C3%A7a_Bing%C3%B6l,Ayça Bingöl,Kadın
75,https://tr.wikipedia.org//wiki/Ay%C3%A7a_Eren,Ayça Eren,Kadın
76,https://tr.wikipedia.org//wiki/Ay%C3%A7a_Erturan,Ayça Erturan,Kadın
77,https://tr.wikipedia.org//wiki/Ay%C3%A7a_I%C5%9F%C4%B1ldar_Ak,Ayça Işıldar Ak,Kadın
78,https://tr.wikipedia.org//wiki/Ay%C3%A7a_%C4%B0nci,Ayça İnci,Kadın
79,https://tr.wikipedia.org//wiki/Ay%C3%A7a_Mutlugil,Ayça Mutlugil,Kadın
80,https://tr.wikipedia.org//wiki/Ay%C3%A7a_Varl%C4%B1er,Ayça Varlıer,Kadın
81,https://tr.wikipedia.org//wiki/Ay%C3%A7e_Abana,Ayçe Abana,Kadın
82,https://tr.wikipedia.org//wiki/Ay%C3%A7in_%C4%B0nci,Ayçin İnci,Kadın
83,https://tr.wikipedia.org//wiki/Ayda_Aksel,Ayda Aksel,Kadın
84,https://tr.wikipedia.org//wiki/Aydan_%C5%9Eener,Aydan Şener,Kadın
85,https://tr.wikipedia.org//wiki/Aydan_Ta%C5%9F,Aydan Taş,Kadın
86,https://tr.wikipedia.org//wiki/Ayfer_D%C3%B6nmez,Ayfer Dönmez,Kadın
87,https://tr.wikipedia.org//wiki/Ayla_Arslancan,Ayla Arslancan,Kadın
88,https://tr.wikipedia.org//wiki/Ayla_Karaca,Ayla Karaca,Kadın
89,https://tr.wikipedia.org//wiki/Aylin_Aras%C4%B1l,Aylin Arasıl,Kadın
90,https://tr.wikipedia.org//wiki/Aylin_Eng%C3%B6r,Aylin Engör,Kadın
91,https://tr.wikipedia.org//wiki/Aylin_Kabasakal,Aylin Kabasakal,Kadın
92,https://tr.wikipedia.org//wiki/Aylin_Kontente,Aylin Kontente,Kadın
93,https://tr.wikipedia.org//wiki/Aylin_Tunceli,Aylin Tunceli,Kadın
94,https://tr.wikipedia.org//wiki/Aynur_Aydan,Aynur Aydan,Kadın
95,https://tr.wikipedia.org//wiki/Aysan_S%C3%BCmercan,Aysan Sümercan,Kadın
96,https://tr.wikipedia.org//wiki/Aysun_G%C3%BCven,Aysun Güven,Kadın
97,https://tr.wikipedia.org//wiki/Aysun_Metiner,Aysun Metiner,Kadın
98,https://tr.wikipedia.org//wiki/Ay%C5%9Fe_Erbulak,Ayşe Erbulak,Kadın
99,https://tr.wikipedia.org//wiki/Ay%C5%9Fe_K%C4%B1rca,Ayşe Kırca,Kadın
100,https://tr.wikipedia.org//wiki/Ay%C5%9Fe_K%C3%B6k%C3%A7%C3%BC,Ayşe Kökçü,Kadın
101,https://tr.wikipedia.org//wiki/Ay%C5%9Fe_Mine,Ayşe Mine,Kadın
102,https://tr.wikipedia.org//wiki/Ay%C5%9Fe_Selen,Ayşe Selen,Kadın
103,https://tr.wikipedia.org//wiki/Ay%C5%9Fe_Tolga,Ayşe Tolga,Kadın
104,https://tr.wikipedia.org//wiki/Ay%C5%9Fe_Tunaboylu,Ayşe Tunaboylu,Kadın
105,https://tr.wikipedia.org//wiki/Ay%C5%9Fecan_Tatari,Ayşecan Tatari,Kadın
106,https://tr.wikipedia.org//wiki/Ay%C5%9Feg%C3%BCl_Akdemir,Ayşegül Akdemir,Kadın
