,Dizi Linki,Dizi Adı,Tür,Uyarlama,Senarist,Yönetmen,Başrol,Besteci,Sezon sayısı,Bölüm sayısı,Yapımcı,Mekân,Görüntü yönetmeni,Gösterim süresi,Yapım şirketi,Kanal,Platform,Ses formatı,Yayın tarihi,Youtube,Facebook,Twitter,Instagram,Durumu
0,https://tr.wikipedia.org//w/index.php?title=Ads%C4%B1z_A%C5%9F%C4%B1klar&action=edit&redlink=1,Adsız Aşıklar,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0,?
1,https://tr.wikipedia.org//w/index.php?title=A%C4%9Flayan_Gelin&action=edit&redlink=1,Ağlayan Gelin,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0,?
2,https://tr.wikipedia.org//w/index.php?title=Aile_Alb%C3%BCm%C3%BC&action=edit&redlink=1,Aile Albümü,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0,?
3,https://tr.wikipedia.org//w/index.php?title=Al%C4%B1-Kara&action=edit&redlink=1,Alı-Kara,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0,?
4,https://tr.wikipedia.org//w/index.php?title=Altay_(dizi)&action=edit&redlink=1,Altay,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0,?
5,https://tr.wikipedia.org//w/index.php?title=Arjen&action=edit&redlink=1,Arjen,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0,?
6,https://tr.wikipedia.org//w/index.php?title=Asaf_(dizi)&action=edit&redlink=1,Asaf,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0,?
7,https://tr.wikipedia.org//w/index.php?title=Asya_(dizi)&action=edit&redlink=1,Asya,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0,?
8,https://tr.wikipedia.org//w/index.php?title=A%C5%9Fk_Yaras%C4%B1_(dizi)&action=edit&redlink=1,Aşk Yarası,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0,?
9,https://tr.wikipedia.org//w/index.php?title=A%C5%9Fka_D%C3%BC%C5%9Fman&action=edit&redlink=1,Aşka Düşman,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0,?
10,https://tr.wikipedia.org//w/index.php?title=A%C5%9Fka_Tutsak&action=edit&redlink=1,Aşka Tutsak,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0,?
11,https://tr.wikipedia.org//w/index.php?title=Bahardan_%C3%96nce&action=edit&redlink=1,Bahardan Önce,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0,?
12,https://tr.wikipedia.org//w/index.php?title=Bi_Tuhaf_Hikaye&action=edit&redlink=1,Bi Tuhaf Hikaye,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0,?
13,https://tr.wikipedia.org//w/index.php?title=Bir_%C4%B0htimal_Daha_Var&action=edit&redlink=1,Bir İhtimal Daha Var,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0,?
14,https://tr.wikipedia.org//w/index.php?title=Bizi_Seyreden_Bulutlar&action=edit&redlink=1,Bizi Seyreden Bulutlar,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0,?
15,https://tr.wikipedia.org//w/index.php?title=Bodrum_Hakimi_(dizi)&action=edit&redlink=1,Bodrum Hakimi,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0,?
16,https://tr.wikipedia.org//w/index.php?title=Boyac%C4%B1_K%C4%B1zlar&action=edit&redlink=1,Boyacı Kızlar,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0,?
17,"https://tr.wikipedia.org//w/index.php?title=B%C3%BCy%C3%BCk_Umutlar_(dizi,_2024)&action=edit&redlink=1",Büyük Umutlar,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0,?
18,https://tr.wikipedia.org//w/index.php?title=%C3%87irkin_(dizi)&action=edit&redlink=1,Çirkin,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0,?
19,"https://tr.wikipedia.org//w/index.php?title=%C3%87ocuk_(dizi,_2024)&action=edit&redlink=1",Çocuk,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0,?
20,https://tr.wikipedia.org//w/index.php?title=Deha_(dizi)&action=edit&redlink=1,Deha,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0,?
21,https://tr.wikipedia.org//w/index.php?title=D%C3%BC%C4%9F%C3%BCm_(dizi)&action=edit&redlink=1,Düğüm,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0,?
22,https://tr.wikipedia.org//w/index.php?title=D%C3%BCnyay%C4%B1_De%C4%9Fi%C5%9Ftiren_Ayten&action=edit&redlink=1,Dünyayı Değiştiren Ayten,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0,?
23,https://tr.wikipedia.org//w/index.php?title=El_Turco&action=edit&redlink=1,El Turco,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0,?
